split,sample_idx,node_id,energy,in_degree,out_degree,tot_degree
0,80,9,0.003086419776082039,9,9,18
0,80,10,0.003086419776082039,4,4,8
0,80,11,0.012345679104328156,6,6,12
0,80,12,0.003086419776082039,20,20,40
0,80,17,0.003086419776082039,4,4,8
0,80,19,0.003086419776082039,5,5,10
0,80,39,0.003086419776082039,1,1,2
0,80,43,0.003086419776082039,2,2,4
0,80,61,0.003086419776082039,11,11,22
0,80,62,0.003086419776082039,1,1,2
0,80,71,0.012345679104328156,20,20,40
0,80,82,0.003086419776082039,6,6,12
0,80,110,0.003086419776082039,1,1,2
0,81,0,0.003086419776082039,6,6,12
0,81,1,0.003086419776082039,16,16,32
0,81,2,0.003086419776082039,6,6,12
0,81,3,0.012345679104328156,10,10,20
0,81,6,0.003086419776082039,10,10,20
0,81,9,0.003086419776082039,9,9,18
0,81,12,0.012345679104328156,20,20,40
0,81,14,0.003086419776082039,5,5,10
0,81,16,0.003086419776082039,16,16,32
0,81,26,0.003086419776082039,12,12,24
0,81,40,0.003086419776082039,1,1,2
0,81,43,0.003086419776082039,2,2,4
0,81,61,0.003086419776082039,11,11,22
0,81,62,0.003086419776082039,1,1,2
0,81,71,0.003086419776082039,20,20,40
0,81,104,0.003086419776082039,9,9,18
0,82,3,0.003086419776082039,10,10,20
0,82,6,0.003086419776082039,10,10,20
0,82,8,0.003086419776082039,9,9,18
0,82,10,0.003086419776082039,6,6,12
0,82,13,0.003086419776082039,5,5,10
0,82,15,0.012345679104328156,16,16,32
0,82,16,0.003086419776082039,3,3,6
0,82,18,0.003086419776082039,5,5,10
0,82,21,0.003086419776082039,4,4,8
0,82,26,0.003086419776082039,3,3,6
0,82,45,0.003086419776082039,6,6,12
0,82,66,0.003086419776082039,4,4,8
0,82,78,0.003086419776082039,6,6,12
0,82,81,0.003086419776082039,2,2,4
0,82,82,0.003086419776082039,3,3,6
0,82,90,0.003086419776082039,3,3,6
0,82,96,0.003086419776082039,9,9,18
0,85,3,0.012345679104328156,10,10,20
0,85,9,0.003086419776082039,9,9,18
0,85,11,0.003086419776082039,6,6,12
0,85,12,0.003086419776082039,19,19,38
0,85,13,0.003086419776082039,2,2,4
0,85,15,0.003086419776082039,11,11,22
0,85,16,0.0277777798473835,16,16,32
0,85,19,0.003086419776082039,5,5,10
0,85,27,0.003086419776082039,3,3,6
0,85,33,0.003086419776082039,1,1,2
0,85,45,0.003086419776082039,2,2,4
0,85,56,0.003086419776082039,6,6,12
