split,sample_idx,node_id,freq_learn,freq_rw,in_degree,out_degree,tot_degree,energy_learn,energy_rw,jaccard_w,rho_energy_delta_learn,rho_energy_delta_rw,global_f1_learn,global_auc_learn,global_acc_learn,global_f1_rw,global_auc_rw,global_acc_rw
1,5,26,0.0,0.0,2,2,4,0.0,0.0,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,27,0.0,0.0,4,4,8,0.0,0.0,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,28,0.0,0.0,3,3,6,0.0,0.0,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,29,0.018518518656492233,0.0,4,4,8,0.00034293552744202316,0.0,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,30,0.018518518656492233,0.03703703731298447,4,4,8,0.00034293552744202316,0.0013717421097680926,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,31,0.018518518656492233,0.0,6,6,12,0.00034293552744202316,0.0,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,32,0.0555555559694767,0.0555555559694767,12,12,24,0.003086419776082039,0.003086419776082039,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,33,0.03703703731298447,0.018518518656492233,17,17,34,0.0013717421097680926,0.00034293552744202316,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,8,0,0.0,0.018518518656492233,16,16,32,0.0,0.00034293552744202316,0.6875,0.04217746495747462,0.14667572100298218,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,8,1,0.0,0.0,9,9,18,0.0,0.0,0.6875,0.04217746495747462,0.14667572100298218,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,8,2,0.03703703731298447,0.03703703731298447,10,10,20,0.0013717421097680926,0.0013717421097680926,0.6875,0.04217746495747462,0.14667572100298218,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,8,3,0.0,0.0,6,6,12,0.0,0.0,0.6875,0.04217746495747462,0.14667572100298218,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,8,4,0.0,0.0,3,3,6,0.0,0.0,0.6875,0.04217746495747462,0.14667572100298218,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,8,5,0.0,0.0,3,3,6,0.0,0.0,0.6875,0.04217746495747462,0.14667572100298218,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,8,6,0.0,0.0,3,3,6,0.0,0.0,0.6875,0.04217746495747462,0.14667572100298218,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,8,7,0.0,0.0,4,4,8,0.0,0.0,0.6875,0.04217746495747462,0.14667572100298218,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,8,8,0.0,0.0,5,5,10,0.0,0.0,0.6875,0.04217746495747462,0.14667572100298218,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,8,9,0.0,0.0,2,2,4,0.0,0.0,0.6875,0.04217746495747462,0.14667572100298218,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
